DBN,School Name,School Pupil-Teacher Ratio
03M199,P.S. 199 JESSIE ISADOR STRAUS,19.7
02M198,P.S. 198 ISADOR E. IDA STRAUS,14.3
05M197,P.S. 197 JOHN B. RUSSWURM,10.1
05M194,P.S. 194 COUNTEE CULLEN,9.5
06M192,P.S. 192 JACOB H. SCHIFF,12.3
06M189,P.S. 189,15.7
03M185,P.S. 185 - THE EARLY CHILDHOOD DISCOVERY AND DESIGN MAGNET SCHOOL,13.2
02M183,P.S. 183 ROBERT L. STEVENSON,14.5
04M182,THE BILINGUAL BICULTURAL SCHOOL,13.6
06M178,PROFESSOR JUAN BOSCH PUBLIC SCHOOL,12.1
05M175,P.S. 175 HENRY H GARNET,15.3
06M173,P.S. 173,13.8
03M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,15.4
03M163,P.S. 163 ALFRED E. SMITH,15.1
02M158,P.S. 158 BAYARD TAYLOR,15.8
04M155,P.S. 155 WILLIAM PACA,11.7
05M154,P.S. 154 HARRIET TUBMAN,14.9
06M153,P.S. 153 ADAM CLAYTON POWELL,16.1
06M152,P.S. 152 DYCKMAN VALLEY,15
02M151,YORKVILLE COMMUNITY SCHOOL,13.8
02M150,P.S. 150,17.9
04M146,P.S. 146 ANN M. SHORT,12
03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",10.3
01M142,P.S. 142 AMALIA CASTRO,12.4
01M137,P.S. 137 JOHN L. BERNSTEIN,10.1
01M134,P.S. 134 HENRIETTA SZOLD,9.8
05M133,P.S. 133 FRED R MOORE,9.1
06M132,P.S. 132 JUAN PABLO DUARTE,12.1
02M130,P.S. 130 HERNANDO DE SOTO,19
06M128,P.S. 128 AUDUBON,12.5
05M125,P.S. 125 RALPH BUNCHE,16.1
02M124,P.S. 124 YUNG WING,15.4
02M116,P.S. 116 MARY LINDLEY MURRAY,14.4
06M115,P.S. 115 ALEXANDER HUMBOLDT,14.6
04M112,P.S. 112 JOSE CELSO BARBOSA,6.6
02M111,P.S. 111 ADOLPH S. OCHS,11.4
01M110,P.S. 110 FLORENCE NIGHTINGALE,14.7
06M103,DOS PUENTES ELEMENTARY SCHOOL,15.6
04M102,P.S. 102 JACQUES CARTIER,11.1
06M098,P.S. 098 SHORAC KAPPOCK,14.1
05M092,P.S. 092 MARY MCLEOD BETHUNE,10.8
02M089,P.S. 89,15.3
03M087,P.S. 087 WILLIAM SHERMAN,14.4
03M084,P.S. 084 LILLIAN WEBER,16.3
04M083,P.S. 083 LUIS MUNOZ RIVERA,15.2
02M077,P.S. 77 LOWER LAB SCHOOL,20.6
03M076,P.S. 076 A. PHILIP RANDOLPH,15.9
03M075,P.S. 075 EMILY DICKINSON,9.9
01M064,P.S. 064 ROBERT SIMON,9.3
01M063,THE STAR ACADEMY - P.S.63,10.6
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,15.5
04M057,JAMES WELDON JOHNSON,12.2
02M051,P.S. 051 ELIAS HOWE,12.4
06M048,P.S. 048 P.O. MICHAEL J. BUCZEK,12.9
